Region/Subregion or Country of Birth,1960,1970,1980,1990
                   United Kingdom,"833,055","686,099","669,149","640,145"
                   Ireland,"338,722","251,375","197,817","169,827"
                   Denmark,"85,060","61,410","42,732","34,999"
                   Finland,"67,624","45,499","29,172","22,313"
                   Iceland,"2,780","2,895","4,156","5,071"
                   Norway,"152,698","97,243","63,316","42,240"
                   Sweden,"214,491","127,070","77,157","53,676"
                   Belgium,"50,294","41,412","36,487","34,366"
                   Luxembourg,"4,360","3,531","3,125","2,053"
                   Netherlands,"118,415","110,570","103,136","96,198"
                Austria,"304,507","214,014","145,607","87,673"
                France,"111,582","105,385","120,215","119,233"
                Germany,"989,815","832,965","849,384","711,929"
                Switzerland,"61,568","49,732","42,804","39,130"
                Greece,"159,167","177,275","210,998","177,398"
                Italy,"1,256,999","1,008,533","831,922","580,592"
                Malta,(na),(na),"10,182","9,614"
                    Azores,"22,586","28,865","32,531","29,656"
                    Portugal,"57,690","91,034","177,437","180,466"
                Spain,"44,999","57,488","73,735","76,415"
                Albania,"9,618","9,180","7,381","5,627"
                Bulgaria,"8,223","8,609","8,463","8,579"
                Czechoslovakia,"227,618","160,899","112,707","87,020"
                Estonia,"13,991","12,163","12,169","9,210"
                Hungary,"245,252","183,236","144,368","110,337"
                Latvia,"50,681","41,707","34,349","26,179"
                Lithuania,"121,475","76,001","48,194","29,745"
                Poland,"747,750","548,107","418,128","388,328"
                Romania,"84,575","70,687","66,994","91,106"
                Soviet Union,"690,598","463,462","406,022","333,725"
                Yugoslavia,"165,798","153,745","152,967","141,516"
            China,"99,735","172,132","286,120","529,837"
            Hong Kong,(na),(na),"80,380","147,131"
            Japan,"109,175","120,235","221,794","290,128"
            Korea,"11,171","38,711","289,885","568,397"
            Macau,(na),(na),"2,959","5,107"
            Taiwan,(na),(na),"75,353","244,102"
            Afghanistan,(na),(na),"3,760","28,444"
            Bangladesh,(na),(na),"4,989","21,414"
            India,"12,296","51,000","206,087","450,406"
            Iran,(na),(na),"121,505","210,941"
            Nepal,(na),(na),844,"2,262"
            Pakistan,"1,708","6,182","30,774","91,889"
            Sri Lanka,(na),(na),"5,576","14,022"
            Myanmar,(na),(na),"11,236","19,835"
            Cambodia,(na),(na),"20,175","118,833"
            Indonesia,(na),(na),"29,920","48,387"
            Laos,(na),(na),"54,881","171,577"
            Malaysia,(na),(na),"10,473","33,834"
            Philippines,"104,843","184,842","501,440","912,674"
            Singapore,(na),(na),"5,598","12,889"
            Thailand,(na),(na),"54,803","106,919"
            Vietnam,(na),(na),"231,120","543,262"
            Cyprus,(na),(na),"8,806","10,060"
            Iraq,(na),(na),"32,121","44,916"
            Israel,"17,724","35,858","66,961","86,048"
            Jordan,(na),(na),"21,587","31,871"
            Kuwait,(na),(na),"4,337","8,889"
            Lebanon,"22,217","22,396","52,674","86,369"
            Palestine,(na),(na),(na),"21,070"
            Saudi Arabia,(na),(na),"17,317","12,632"
            Syria,"16,717","14,962","22,081","36,782"
            Turkey,"52,228","48,085","51,915","55,087"
            United Arab Emirates,(na),(na),534,"1,656"
            Yemen,(na),(na),"3,093","4,933"
            Ethiopia,(na),(na),"7,516","34,805"
            Kenya,(na),(na),"6,250","14,371"
            Somalia,(na),(na),691,"2,437"
            Tanzania,(na),(na),"3,246","6,282"
            Uganda,(na),(na),"3,804","6,684"
            Zambia,(na),(na),"1,346","2,954"
            Zimbabwe,(na),(na),"3,183","4,767"
            Angola,(na),(na),"1,094","2,252"
            Cameroon,(na),(na),"1,214","3,161"
            Zaire,(na),(na),"1,411","3,387"
            Algeria,(na),(na),"3,853","4,629"
            Egypt,"8,316","20,666","43,424","66,313"
            Libya,(na),(na),"6,427","4,037"
            Morocco,(na),(na),"9,896","15,541"
            Sudan,(na),(na),"2,711","4,423"
            Tunisia,(na),(na),"3,466","4,101"
            South Africa,"5,394","7,667","16,103","34,707"
            Cape Verde,"8,302","18,680","10,457","14,368"
            Ghana,(na),(na),"7,564","20,889"
            Liberia,(na),(na),"3,728","11,455"
            Nigeria,(na),(na),"25,528","55,350"
            Senegal,(na),(na),762,"2,287"
            Sierra Leone,(na),(na),"1,963","7,217"
            Australia,"22,209","24,271","36,120","42,267"
            New Zealand,"5,826","8,117","11,413","15,415"
            Fiji,(na),(na),"7,538","15,935"
            Tonga,(na),(na),"5,619","10,668"
            Western Samoa,(na),(na),"12,582","11,408"
            Antigua & Barbuda,(na),(na),"3,920","12,022"
            Aruba,(na),(na),"2,597","3,363"
            Bahamas,(na),(na),"13,993","21,633"
            Barbados,(na),(na),"26,847","43,015"
            Cuba,"79,150","439,048","607,814","736,971"
            Dominica,(na),(na),"3,296","19,529"
            Dominican Republic,"11,883","61,228","169,147","347,858"
            Grenada,(na),(na),"7,101","17,730"
            Haiti,"4,816","28,026","92,395","225,393"
            Jamaica,"24,759","68,576","196,811","334,140"
            Montserrat,(na),(na),"1,212","3,493"
            Netherlands Antilles,(na),(na),"5,123","3,426"
            St. Kitts-Nevis,(na),(na),"1,903","7,447"
            St. Lucia,(na),(na),"1,901","6,959"
            St. Vincent and the Grenadines,(na),(na),"4,044","12,824"
            Trinidad and Tobago,(na),"20,673","65,907","115,710"
            Mexico,"575,902","759,711","2,199,221","4,298,014"
                Belize,"2,780","8,860","14,436","29,957"
                Costa Rica,"5,425","16,691","29,639","43,530"
                El Salvador,"6,310","15,717","94,447","465,433"
                Guatemala,"5,381","17,356","63,073","225,739"
                Honduras,"6,503","19,118","39,154","108,923"
                Nicaragua,"9,474","16,125","44,166","168,659"
                Panama,"13,076","20,046","60,740","85,737"
            Argentina,"16,579","44,803","68,887","92,563"
            Bolivia,"2,168","6,872","14,468","31,303"
            Brazil,"13,988","27,069","40,919","82,489"
            Chile,"6,259","15,393","35,127","55,681"
            Colombia,"12,582","63,538","143,508","286,124"
            Ecuador,"7,670","36,663","86,128","143,314"
            Guyana,(na),(na),"48,608","120,698"
            Paraguay,595,(na),"2,858","6,057"
            Peru,"7,102","21,663","55,496","144,199"
            Suriname,(na),(na),"1,433","2,860"
            Uruguay,"1,170","5,092","13,278","20,766"
            Venezuela,"6,851","11,348","33,281","42,119"
        Canada,"952,500","812,421","842,859","744,830"
            Bermuda,(na),(na),"8,844","7,972"
