Year,2000,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
Region/Subregion or Country of Birth,Estimate,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Total," 31,107,889 "," 37,547,315 "," +/-125,604 "," 38,059,555 "," +/-119,486 "," 37,960,773 "," +/-122,987 "," 38,517,104 "," +/-115,704 "," 39,955,673 "," +/-115,146 "," 40,377,757 "," +/-125,117 "," 40,824,553 "," +/-111,624 ","41,347,945"," +/-129,157 ","42,390,705","  +/-130,028 ","43,289,646","+/-122,375","43,738,901","+/-129,852"
Europe," 4,915,557 "," 4,993,135 "," +/-48,762 "," 4,990,294 "," +/-45,508 "," 4,969,090 "," +/-42,281 "," 4,887,221 "," +/-50,207 "," 4,817,437 "," +/-43,994 "," 4,889,987 "," +/-50,419 "," 4,809,392 "," +/-38,353 ","4,803,059"," +/-42,857 ","4,764,822","  +/-45,299 ","4,789,662","+/-38,942","4,785,267","+/-36,512"
Northern Europe," 974,619 "," 953,460 "," +/-16,118 "," 939,589 "," +/-15,352 "," 951,374 "," +/-16,595 "," 937,715 "," +/-18,644 "," 923,564 "," +/-15,720 "," 946,984 "," +/-18,125 "," 929,873 "," +/-17,115 ","952,872"," +/-19,199 ","930,580","  +/-18,090 ","928,644","+/-16,770","950,872","+/-19,323"
United Kingdom (inc. Crown Dependencies)," 677,751 "," 691,300 "," +/-12,947 "," 681,285 "," +/-13,333 "," 687,637 "," +/-14,393 "," 694,597 "," +/-15,571 "," 669,794 "," +/-13,058 "," 684,573 "," +/-16,282 "," 679,483 "," +/-14,915 ","695,489"," +/-14,543 ","679,112","  +/-16,679 ","683,473","+/-13,753","696,896","+/-15,979"
Ireland," 156,474 "," 133,433 "," +/-6,810 "," 135,722 "," +/-6,782 "," 134,897 "," +/-6,489 "," 121,982 "," +/-6,263 "," 124,457 "," +/-6,395 "," 132,540 "," +/-7,481 "," 132,277 "," +/-6,008 "," 128,350 "," +/-5,831 ","125,022","  +/-5,318 ","120,144","+/-6,262","125,840","+/-6,344"
Denmark," 30,126 ", - ,, - ,, - ,," 32,966 "," +/-4,456 "," 29,441 "," +/-2,662 "," 32,171 "," +/-5,084 "," 26,360 "," +/-2,794 "," 28,521 "," +/-3,259 ","26,920","  +/-2,607 ","29,039","+/-2,609","33,715","+/-3,463"
Norway," 33,090 ", - ,, - ,, - ,," 26,546 "," +/-2,300 "," 25,637 "," +/-2,953 "," 26,626 "," +/-3,293 "," 27,022 "," +/-3,027 "," 28,520 "," +/-3,095 ","22,798","  +/-2,501 ","24,982","+/-2,645","22,669","+/-2,629"
Sweden," 49,724 ", - ,, - ,, - ,," 41,329 "," +/-3,181 "," 48,366 "," +/-3,935 "," 47,554 "," +/-4,525 "," 42,726 "," +/-3,406 "," 44,870 "," +/-3,558 ","51,232","  +/-4,101 ","46,335","+/-3,628","48,294","+/-3,717"
Other Northern Europe," 90,670 "," 128,727 "," +/-6,506 "," 122,582 "," +/-5,408 "," 128,840 "," +/-6,754 "," 20,295 "," +/-2,552 "," 25,869 "," +/-3,210 "," 23,520 "," +/-2,679 "," 22,005 "," +/-2,301 "," 27,122 "," +/-2,770 ","25,496","  +/-3,095 ","24,671","+/-2,648","23,458","+/-2,831"
Western Europe," 1,095,847 "," 1,013,494 "," +/-17,013 "," 1,008,989 "," +/-18,638 "," 1,011,362 "," +/-17,066 "," 995,259 "," +/-18,083 "," 961,791 "," +/-17,946 "," 965,507 "," +/-19,963 "," 959,631 "," +/-16,134 "," 959,298 "," +/-16,302 ","959,793","  +/-16,974 ","964,714","+/-16,839","939,383","+/-15,605"
Austria," 63,648 "," 61,012 "," +/-4,168 "," 51,461 "," +/-3,027 "," 52,707 "," +/-3,628 "," 51,866 "," +/-3,840 "," 48,094 "," +/-3,530 "," 48,179 "," +/-3,489 "," 44,824 "," +/-2,575 "," 44,688 "," +/-2,774 ","48,562","  +/-3,488 ","43,401","+/-3,026","44,943","+/-3,247"
Belgium," 33,105 ", - ,, - ,, - ,," 31,896 "," +/-4,010 "," 32,408 "," +/-3,762 "," 26,922 "," +/-2,916 "," 36,041 "," +/-3,125 "," 30,726 "," +/-2,619 ","35,373","  +/-3,266 ","34,232","+/-2,938","35,406","+/-2,958"
France," 151,154 "," 149,481 "," +/-7,495 "," 154,786 "," +/-7,746 "," 157,636 "," +/-8,499 "," 156,379 "," +/-6,814 "," 147,959 "," +/-7,852 "," 160,833 "," +/-7,555 "," 166,215 "," +/-7,858 "," 170,394 "," +/-8,211 ","166,291","  +/-8,228 ","173,561","+/-8,607","175,250","+/-8,058"
Germany," 706,704 "," 635,238 "," +/-12,460 "," 631,990 "," +/-13,655 "," 641,417 "," +/-13,022 "," 622,608 "," +/-13,635 "," 604,616 "," +/-12,966 "," 608,288 "," +/-14,690 "," 592,431 "," +/-12,813 "," 584,184 "," +/-12,817 ","582,727","  +/-12,951 ","585,298","+/-12,124","563,985","+/-12,597"
Netherlands," 94,570 "," 90,114 "," +/-5,000 "," 92,782 "," +/-5,745 "," 85,635 "," +/-5,665 "," 90,594 "," +/-4,965 "," 85,987 "," +/-5,373 "," 80,789 "," +/-4,845 "," 79,554 "," +/-4,894 "," 85,085 "," +/-4,726 ","83,382","  +/-4,663 ","88,580","+/-6,180","79,902","+/-4,632"
